",,Overall,Overall,Overall,Overall,Overall,Overall,,Conf.,Conf.,,Home,Home,,Away,Away,,Points,Points,,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced,School Advanced"
"Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA"
"1,Abilene Christian,33,14,19,.424,-7.18,-1.25,,5,13,,9,5,,3,12,,2321,2389,,69.3,101.1,.403,.328,.529,50.4,54.7,14.0,8.1,.489,17.7,32.6,.284"
"2,Air Force,32,3,29,.094,-13.66,4.68,,0,20,,3,15,,0,12,,1969,2556,,67.4,91.3,.351,.418,.516,44.8,55.9,8.3,6.8,.489,19.8,21.4,.225"
"3,Akron NCAA,34,29,5,.853,9.04,-3.33,,17,1,,15,0,,9,3,,3004,2499,,71.8,123.1,.277,.451,.612,53.5,57.5,10.5,9.1,.588,13.2,34.0,.209"
"4,Alabama NCAA,32,23,9,.719,22.70,14.45,,13,5,,12,3,,7,3,,2935,2671,,74.6,122.0,.372,.537,.592,50.4,53.5,8.6,11.3,.554,11.2,31.8,.285"
"5,Alabama A&M,33,18,15,.545,-12.99,-10.49,,10,8,,12,5,,4,8,,2378,2393,,67.8,105.9,.449,.343,.545,49.9,49.4,8.8,7.9,.496,14.7,28.0,.331"
"6,Alabama State,32,10,22,.313,-14.21,-8.14,,7,11,,5,4,,4,15,,2341,2473,,71.9,101.7,.350,.382,.514,50.0,48.6,11.4,11.0,.478,15.5,32.7,.243"
"7,Albany (NY),32,11,21,.344,-13.92,-8.09,,7,9,,6,5,,4,13,,2303,2332,,66.6,108.1,.242,.372,.548,51.5,50.4,10.4,11.6,.530,15.6,33.8,.160"
"8,Alcorn State,32,9,23,.281,-19.82,-6.54,,7,11,,5,4,,2,18,,2141,2566,,69.4,96.0,.318,.337,.512,44.9,46.6,11.0,9.1,.477,17.2,26.9,.225"
"9,American,32,16,16,.500,-6.91,-6.21,,9,9,,11,6,,5,10,,2387,2283,,67.5,110.6,.293,.461,.558,48.7,50.8,11.4,4.5,.526,13.7,28.3,.220"
"10,Appalachian State,32,19,13,.594,-3.77,-5.67,,11,7,,11,4,,7,8,,2305,2114,,64.7,110.9,.387,.460,.536,53.5,48.5,7.6,10.8,.510,12.8,34.3,.248"
"11,Arizona NCAA,34,32,2,.941,29.92,12.57,,16,2,,16,1,,9,1,,2929,2339,,71.3,120.3,.429,.268,.588,57.3,55.4,10.9,10.8,.551,12.9,38.1,.315"
"12,Arizona State,33,17,16,.515,10.79,12.79,,7,11,,10,5,,2,9,,2519,2585,,70.6,108.1,.395,.384,.556,47.8,53.0,9.9,12.8,.511,14.9,29.8,.298"
"13,Arkansas NCAA,34,26,8,.765,22.43,12.57,,13,5,,17,1,,5,5,,3058,2723,,72.4,122.5,.364,.334,.597,51.1,53.0,9.9,13.0,.565,10.7,32.2,.272"
"14,Arkansas State,32,20,12,.625,-0.65,-4.39,,11,7,,11,4,,9,7,,2655,2471,,72.5,113.1,.386,.451,.564,55.3,56.2,10.2,7.0,.526,16.2,38.1,.283"
"15,Arkansas-Pine Bluff,32,13,19,.406,-14.79,-6.92,,10,8,,7,4,,6,14,,2472,2593,,72.4,106.4,.363,.372,.556,48.2,58.1,9.9,7.8,.515,16.2,29.3,.274"
"16,Army,32,11,21,.344,-15.28,-7.14,,5,13,,6,10,,5,10,,2309,2471,,67.6,104.8,.256,.534,.526,50.4,59.7,8.5,4.8,.498,14.8,31.1,.183"
"17,Auburn,33,17,16,.515,17.02,13.69,,7,11,,11,4,,2,8,,2730,2620,,69.2,118.6,.447,.392,.568,52.4,46.2,10.7,11.7,.523,12.3,37.6,.332"
"18,Austin Peay,31,22,9,.710,-2.25,-6.70,,15,3,,12,1,,9,7,,2530,2269,,71.0,115.0,.377,.388,.575,50.8,57.4,13.0,7.0,.538,13.2,30.5,.280"
"19,Ball State,31,12,19,.387,-9.58,-4.27,,7,11,,7,7,,4,11,,2093,2154,,65.8,101.7,.321,.390,.515,47.5,53.0,11.4,8.3,.482,14.0,27.0,.223"
"20,Baylor,32,16,16,.500,15.33,11.78,,6,12,,11,6,,3,7,,2642,2469,,70.0,117.9,.349,.389,.579,53.4,53.9,9.4,10.0,.546,13.9,37.7,.256"
"21,Bellarmine,32,13,19,.406,-9.00,-4.64,,7,11,,9,5,,2,13,,2561,2614,,66.4,119.6,.346,.406,.632,46.5,53.4,9.1,6.0,.599,13.9,23.1,.274"
"22,Belmont,32,26,6,.813,8.95,-0.41,,16,4,,13,2,,11,3,,2684,2347,,70.2,118.6,.319,.461,.622,52.2,61.8,8.7,11.2,.607,15.7,29.2,.218"
"23,Bethune-Cookman,32,17,15,.531,-9.38,-6.45,,14,4,,10,1,,7,11,,2412,2462,,71.2,104.7,.411,.298,.550,50.1,51.1,9.8,11.4,.516,16.8,30.4,.284"
"24,Binghamton,31,8,23,.258,-20.67,-10.78,,4,12,,7,8,,1,14,,2105,2321,,65.1,102.3,.417,.318,.556,48.1,49.8,7.8,8.5,.511,16.8,21.8,.311"
"25,Boise State,32,20,12,.625,12.04,7.84,,12,8,,12,4,,6,5,,2502,2351,,67.1,113.9,.417,.428,.576,55.7,50.5,6.7,6.0,.526,14.6,33.7,.327"
"26,Boston College,31,11,20,.355,3.39,6.65,,4,14,,10,7,,1,10,,2090,2191,,66.4,100.0,.324,.424,.499,49.4,47.4,7.2,11.6,.470,13.3,28.3,.212"
